,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
13,0,0,0,1,1,0,0,0,0,0,,,0.2806794745863312,0.2490290028865636,0.2889114474967862,,,,0.272873308323227,0.0210559853917428
14,0,0,0,1,0,1,0,0,0,0,,0.265564738694614,,,0.2977612863973321,0.2758414972913788,0.3388210289326457,,0.2944971378289926,0.0324570415163609
15,0,1,0,0,0,0,1,0,0,0,0.2139989267896851,,0.2396690354341644,0.2391595073097461,0.2613991923087967,,,,0.2385566654605981,0.0193775157222033
16,1,0,0,0,1,0,0,0,0,0,,0.2731891916371137,0.2674475166059636,0.1843672618471453,0.2872164784472906,,,,0.2530551121343783,0.046538665606649
17,0,1,0,1,0,0,0,0,0,0,,,0.2774202028622239,0.243731848329732,,,,,0.260576025595978,0.0238212639369415
18,0,0,0,0,0,1,0,0,1,0,,,0.2949503303398252,0.2692050773149505,0.2807235118462105,,,,0.2816263065003287,0.0128963480090036
19,0,0,0,0,1,0,0,0,0,1,,0.1350014098061698,0.1238073868686798,0.1321848918911928,0.1507755177569643,,0.1335037616758067,,0.1350545935997627,0.0098016607225081
20,0,0,0,0,1,0,1,0,0,1,,0.1414626811292382,0.1619469922087855,0.1421499650584795,,0.1340063182024374,,,0.1448914891497352,0.0119533790192498
21,0,1,0,0,0,1,0,0,0,1,0.2125332583747408,0.2620592269135579,,,,0.2262471788556135,0.2721068096655488,0.2313169258293951,0.2408526799277712,0.0251633620846755
22,1,0,1,0,1,0,0,0,0,0,,,,0.2394342069260425,0.2099016775243287,,0.2471904895813549,0.2783815030662209,0.2437269692744867,0.0281395975794612
23,0,0,0,0,0,0,1,1,0,1,,,,0.1422784100765854,0.0967069346684411,0.0788042559426912,,,0.1059298668959059,0.0327267309688524
24,0,0,1,0,0,0,1,0,0,1,0.1128830655389129,0.1151828793435901,,0.1389960353580366,0.0969507769804412,0.0912892067164719,,0.0941199816549152,0.1082369909320613,0.0180546179975535
25,0,1,1,0,1,0,0,0,0,0,,0.2801368997159232,0.2100891614777953,,,,,,0.2451130305968593,0.0495312307149604
26,1,0,0,1,0,0,0,0,1,0,0.3032701700898312,0.2974995170917964,0.281563796029106,0.3536021311324619,,,0.3135698517625254,,0.3099010932211442,0.0270370632094939
27,0,0,1,1,0,0,1,0,0,0,,0.186705613531556,0.1761924501794551,0.1993469380867958,,,,0.2375551231749028,0.1999500312431774,0.0267976610861721
28,1,0,0,0,0,0,0,0,1,1,0.2309755939254046,0.1734148841479304,0.2065445781802383,0.219584843970888,0.2062054397548745,0.2080369105619735,0.2007002458722963,0.2163715585367601,0.2077292568687958,0.0168452613684805
29,0,1,0,0,1,1,0,0,0,0,0.3881094180073379,0.3689189815199519,0.3635965386682198,0.3706580266863544,0.381826025197662,0.3905570912668507,0.4171791476771695,0.388456114394383,0.3836626679272412,0.0169290873349385
30,1,0,0,1,0,0,0,1,0,1,0.2152711691972706,0.2188030283316338,0.2219203823161596,0.2405891681294479,0.2165267739309414,0.2439063625875357,0.2160486042014564,0.2243704691441933,0.2246794947298298,0.0113042781270579
31,1,0,0,0,1,1,0,0,1,0,0.3528836507120583,,,,,0.3493560248744357,0.3536832562953022,,0.3519743106272654,0.002302478552515
32,0,0,1,0,0,0,1,1,1,0,0.2413861889077054,0.2004065164906026,0.2059497489799485,0.2670626576163773,0.2000302317235879,0.2384565176146851,,,0.2255486435554844,0.0275981411812888
33,0,1,0,0,1,0,0,1,0,1,,,0.1068018564376997,0.1609620363410912,,0.1342830884381379,0.1338899561391783,,0.1339842343390268,0.0221116987993887
34,1,0,1,1,0,0,0,0,0,1,,,0.2466840106389039,0.2355478466688685,0.2312722695829896,,0.2452788116238791,,0.2396957346286603,0.0074870218429962
35,1,1,0,1,0,0,0,0,1,0,0.3862607305614087,0.3535502608361409,0.3580036045147108,0.3659572263995726,0.3951387036892383,0.3658146154115654,0.3329574705249804,,0.3653832302768025,0.0206868787659811
36,0,0,0,0,1,1,1,0,0,1,0.213221469651509,,0.1924079557087025,,0.1706780603619699,0.1791029138966245,,0.1759694724934817,0.1862759744224575,0.0170633570113803
37,0,1,0,0,1,0,1,0,0,1,,,,0.149875729111437,0.1768510529915809,0.1568316179352953,,,0.1611861333461044,0.0140049411979092
38,1,1,0,0,0,1,1,0,0,0,0.3283594344919521,,,,,0.3568284219466597,0.3318582398380353,0.3596383598006196,0.3441711140193167,0.0163407386216878
39,1,0,1,1,0,0,0,0,1,0,,0.2902714947287955,0.2996662503753073,0.3015549917435203,0.2984793582766947,0.3078746487260024,0.2876255379278206,0.2890780692402666,0.2963643358597725,0.0075430448501395
40,1,0,0,1,1,0,0,0,1,0,,,0.3952167813395996,0.4134401123413802,0.426573062726034,,0.3965202011394906,0.4355335290880727,0.4134567373269154,0.017881311859581
